cook,diet_current_coded,eating_out,sports,exercise,fav_cuisine_coded,on_off_campus,pay_meal_out,fav_food,fruit_day,income
2.0,1,3,1.0,1.0,3,1.0,2,1.0,5,5.0
3.0,2,2,1.0,1.0,1,1.0,4,1.0,4,4.0
1.0,3,2,1.0,2.0,1,4.0,1,3.0,5,6.0
2.0,2,2,2.0,3.0,3,1.0,2,1.0,4,6.0
1.0,2,2,1.0,1.0,1,1.0,4,3.0,4,6.0
3.0,2,1,2.0,2.0,6,1.0,5,3.0,2,1.0
2.0,3,2,1.0,1.0,4,2.0,2,1.0,4,4.0
3.0,1,2,2.0,2.0,5,1.0,5,1.0,5,5.0
3.0,1,3,1.0,1.0,1,1.0,3,1.0,5,4.0
1.0,1,2,1.0,1.0,4,3.0,2,1.0,5,3.0
3.0,1,1,1.0,1.0,1,1.0,3,1.0,5,5.0
5.0,1,1,1.0,3.0,4,1.0,2,3.0,4,5.0
2.0,2,4,1.0,2.0,1,2.0,3,1.0,5,5.0
3.0,1,2,1.0,2.0,4,2.0,3,3.0,5,5.0
4.0,2,4,1.0,1.0,1,1.0,3,2.0,3,4.0
3.0,1,1,2.0,2.0,7,1.0,2,1.0,5,1.0
3.0,3,2,1.0,1.0,5,1.0,6,3.0,3,6.0
3.0,1,3,2.0,3.0,5,1.0,2,3.0,5,5.0
5.0,2,4,1.0,1.0,2,1.0,2,3.0,2,6.0
3.0,2,1,1.0,1.0,8,1.0,5,2.0,3,6.0
5.0,1,1,1.0,1.0,1,1.0,5,1.0,4,6.0
4.0,1,2,1.0,3.0,4,1.0,3,1.0,3,4.0
3.0,1,2,1.0,1.0,0,1.0,3,3.0,4,6.0
3.0,1,2,1.0,1.0,1,1.0,4,1.0,3,5.0
4.0,1,2,1.0,1.0,2,1.0,6,1.0,5,6.0
2.0,2,2,2.0,2.0,1,1.0,3,1.0,3,5.0
3.0,2,5,2.0,2.0,8,1.0,4,1.0,5,5.0
3.0,1,3,1.0,2.0,2,3.0,3,2.0,3,5.0
2.0,2,2,2.0,2.0,1,4.0,3,1.0,5,4.0
4.0,2,2,2.0,3.0,1,1.0,3,1.0,3,3.0
4.0,2,3,1.0,1.0,1,1.0,4,3.0,5,6.0
1.0,3,2,1.0,1.0,5,2.0,3,1.0,5,4.0
3.0,2,4,1.0,1.0,1,1.0,3,3.0,5,6.0
2.0,2,2,1.0,3.0,1,1.0,4,1.0,3,6.0
3.0,1,2,1.0,2.0,1,1.0,3,1.0,4,5.0
5.0,2,5,1.0,1.0,2,2.0,3,1.0,5,6.0
3.0,3,2,1.0,1.0,1,1.0,3,1.0,3,6.0
2.0,4,4,2.0,1.0,1,1.0,3,1.0,5,3.0
1.0,1,2,1.0,1.0,4,2.0,6,1.0,5,5.0
3.0,2,2,1.0,2.0,1,1.0,3,1.0,4,4.0
4.0,2,2,1.0,1.0,1,1.0,3,3.0,5,6.0
4.0,2,2,1.0,1.0,4,1.0,3,1.0,5,5.0
3.0,2,2,2.0,2.0,1,1.0,6,1.0,3,3.0
5.0,1,2,2.0,1.0,5,3.0,3,2.0,4,1.0
3.0,4,3,1.0,1.0,0,1.0,3,1.0,5,6.0
1.0,3,5,1.0,1.0,2,1.0,3,1.0,5,5.0
1.0,1,3,1.0,1.0,1,1.0,6,1.0,5,6.0
3.0,2,5,1.0,1.0,1,1.0,2,1.0,4,3.0
3.0,1,4,1.0,1.0,4,2.0,4,1.0,5,6.0
2.0,1,3,1.0,1.0,5,1.0,3,3.0,4,5.0
1.0,3,2,1.0,2.0,2,2.0,4,1.0,5,5.0
2.0,1,5,1.0,1.0,2,1.0,3,1.0,5,6.0
2.0,1,2,2.0,2.0,2,3.0,2,2.0,3,4.0
3.0,1,5,1.0,1.0,1,1.0,3,1.0,4,6.0
3.0,1,4,1.0,1.0,1,1.0,3,1.0,5,5.0
1.0,1,3,1.0,1.0,4,1.0,2,3.0,5,2.0
2.0,2,3,2.0,2.0,1,1.0,5,3.0,3,6.0
4.0,2,3,1.0,2.0,1,1.0,4,1.0,5,5.0
3.0,1,1,1.0,1.0,1,1.0,4,1.0,5,6.0
2.0,2,2,2.0,2.0,1,2.0,3,1.0,3,6.0
3.0,1,1,1.0,2.0,1,1.0,3,1.0,5,3.0
2.0,1,1,1.0,1.0,1,1.0,6,1.0,5,5.0
3.0,2,1,2.0,2.0,0,1.0,2,2.0,5,5.0
1.0,2,4,1.0,1.0,2,3.0,3,1.0,3,6.0
2.0,4,1,2.0,2.0,0,2.0,5,2.0,4,3.0
3.0,1,2,2.0,1.0,1,1.0,4,1.0,5,5.0
2.0,2,2,1.0,2.0,5,2.0,3,3.0,4,3.0
2.0,2,2,1.0,2.0,5,1.0,3,2.0,3,3.0
2.0,3,2,1.0,1.0,4,1.0,3,1.0,5,5.0
5.0,2,1,1.0,1.0,4,1.0,3,1.0,5,6.0
3.0,2,3,2.0,2.0,1,1.0,3,3.0,3,4.0
3.0,2,3,1.0,1.0,1,1.0,5,1.0,4,4.0
1.0,1,2,1.0,1.0,2,1.0,3,3.0,5,5.0
3.0,3,3,2.0,3.0,4,1.0,3,3.0,5,6.0
2.0,1,1,1.0,2.0,4,1.0,3,3.0,5,6.0
4.0,2,2,1.0,1.0,5,1.0,3,2.0,4,6.0
3.0,2,2,2.0,1.0,4,1.0,3,1.0,5,3.0
4.0,1,2,1.0,1.0,1,1.0,4,1.0,5,6.0
2.0,2,3,2.0,2.0,5,2.0,3,3.0,2,6.0
2.0,2,5,1.0,3.0,5,1.0,3,1.0,1,3.0
4.0,2,2,2.0,3.0,1,1.0,4,1.0,4,4.0
2.0,1,2,1.0,1.0,1,1.0,3,1.0,5,6.0
3.0,2,2,1.0,1.0,5,1.0,3,3.0,4,5.0
2.0,2,2,2.0,2.0,1,1.0,3,3.0,3,6.0
3.0,1,2,1.0,1.0,1,1.0,5,1.0,5,5.0
3.0,1,2,1.0,2.0,1,1.0,2,1.0,5,2.0
3.0,2,2,2.0,3.0,4,1.0,2,3.0,5,5.0
2.0,1,2,2.0,2.0,8,1.0,3,1.0,5,4.0
3.0,2,3,1.0,2.0,1,2.0,5,3.0,3,4.0
2.0,1,5,2.0,2.0,4,1.0,3,1.0,5,1.0
2.0,1,2,2.0,1.0,1,1.0,3,3.0,4,4.0
5.0,1,2,1.0,1.0,1,1.0,3,2.0,5,6.0
2.0,2,3,2.0,3.0,1,1.0,3,2.0,4,6.0
3.0,2,4,1.0,2.0,1,2.0,4,1.0,3,3.0
2.0,1,2,2.0,2.0,0,3.0,6,1.0,3,5.0
1.0,1,4,2.0,1.0,1,1.0,3,3.0,5,6.0
2.0,2,3,2.0,2.0,1,1.0,3,1.0,4,6.0
3.0,2,3,1.0,2.0,4,1.0,5,3.0,4,3.0
4.0,2,2,1.0,1.0,0,1.0,5,3.0,5,6.0
3.0,2,4,2.0,2.0,4,1.0,3,2.0,5,1.0
3.0,2,2,2.0,2.0,5,3.0,4,1.0,5,3.0
2.0,2,2,1.0,2.0,8,1.0,3,3.0,5,2.0
3.0,2,2,1.0,2.0,1,3.0,4,1.0,5,4.0
3.0,2,3,2.0,2.0,4,1.0,4,1.0,4,2.0
3.0,1,5,2.0,1.0,1,1.0,3,3.0,5,4.0
